PREFIX	Trust	Hospital/Trust	POSTALCODE
50552189	Leeds Teaching Hospitals NHS Trust	Chapel Allerton Hospital (GLN)	LS1 3EX
50552205	Imperial College Healthcare NHS Trust	Charing Cross Hospital	W6 8RF
5053230	Chelsea and Westminster Hospital NHS Foundation Trust	Chelsea and Westminster Hospital	SW10 9NH
50552094	Chelsea and Westminster Hospital NHS Foundation Trust	Chelsea and Westminster Hospital	SW10 9NH
50552101	Gloucestershire Hospitals NHS Foundation Trust	Cheltenham General Hospital	GL53 7AN
50552335	Chesterfield Royal Hospital NHS Foundation Trust	Chesterfield Royal Hospital NHS Foundation Trust	S44 5BL
50552068	Lancashire Teaching Hospitals NHS Foundation Trust	Chorley District Hospital	PR7 1PP
5051446	Sandwell and West Birmingham Hospitals Trust	City and Sandwell Hospitals	B29 6JF
50552081	Blackpool, Fylde and Wyre Hospitals NHS Trust	Clifton Hospital	FY8 1PB
50552262	Leicestershire County & Rutland Community Health Services (LCRCHS)	Coalville Community Hospital	LE13 1SJ  
50552173	Colchester Hospital University NHS Foundation Trust	Colchester General Hospital	CO4 5JL
50552144	Colchester Hospital University NHS Foundation Trust	Colchester General Hospital Decontamination Unit	CO4 5JL
50552331	Kensington & Chelsea NHS PCT	Colville Health Centre, Central London Community Healthcare	W 11 1PA
50552291	County Durham & Darlington NHS Foundation Trust (CDDFT)	County Durham & Darlington NHS Foundation Trust (CDDFT)	DL3 6HX   
50552248	United Lincolnshire Hospitals NHS Trust	County Hospital, Louth SSD	DN33 2BA
50552100	Croydon Health Services NHS Trust	Croydon University Hospital formally Mayday Hospital	CR7 7YE
50552084	Plymouth Hospitals NHS Trust	Derriford Hospital	PL6 8DH
50700000005	Plymouth Hospitals NHS Trust	Derriford Hospital Medical Devices Dept	PL6 8DH
50552096	North Lincolnshire & Goole Hospitals NHS Trust	Diana Princess of Wales Hospital	DN33 2BA
50552135	Doncaster and Bassetlaw Hospitals NHS Foundation Trust	Doncaster Royal Infirmary	DN2 5LT
50552136	Ealing Hospital NHS Trust	Ealing Hospital NHS Trust	UB1 3HW
50552297	East Lancashire Hospitals NHS Trust	East Lancashire Hospitals NHS Trust	BB2 3HH   
50552092	East Sussex Hospitals NHS Trust	Eastbourne DGH Pharmaceuticals	BN21 2UD
50552086	East Sussex Hospitals NHS Trust	Eastbourne District General Hospital	BN21 2UD
50552231	Salford Primary Care Trust	Eccles Gateway Clinic	WN6 9EP
5051820	Epsom and St Helier NHS Trust	Epsom General Hospital	WF3 1WE
50552146	Epsom and St Helier NHS Trust	Epsom General Hospital	WF3 1WE
506017184	Frimley Park Hospital NHS Foundation Trust	Farnham Pharmaceutical Repackaging Unit	GU12 4RH
50552263	Leicestershire County & Rutland Community Health Services (LCRCHS)	Feilding Palmer Hospital	LE13 1SJ  
50552082	Blackpool. Fylde and Wyre Hospitals NHS Trust	Fleetwood Hospital	FY6 8JT
50552312	North Bristol NHS Trust	Frenchay Hospital	BS1 1LE   
50552148	University Hospitals Of Morecambe Bay NHS Trust	Furness General Hospital Sterile Services Dept.	LA1 4RP
50552061	George Eliot Hospital NHS Trust	George Eliot Hospital NHS Trust	CV10 7DJ
50552281	University Hospitals of Leicester NHS Trust	Glenfield General Hospital (SSD)	LE3 9QP   
50552293	Northern Lincolnshire & Goole Hospitals NHS Foundation Trust	Goole and District Hospital	DN14 6RX  
50552249	United Lincolnshire Hospitals NHS Trust	Grantham & District Hospital SSD	PE21 9QS
50552211	United Lincolnshire Hospitals NHS Trust	Grantham & District Hospital Supplies Dept.	NG31 8DG
50552209	Bolton NHS Foundation Trust	Great Lever Health Centre	BL3 6RN
50552062	Great Ormond Street Hospital for Children NHS Trust	Great Ormond Street Hospital for Children	WC1N 3JH
50552216	Great Western Hospitals NHS Foundation Trust	Great Western Hospital	SN3 6BB
50552344	Greater Manchester West MH NHS Foundation Trust	Greater Manchester West MH NHS Foundation Trust	M25 3BL
50552212	Guy's & St Thomas' NHS Foundation Trust	Guy's & St Thomas' NHS Foundation Trust	SE1 7EH
50552176	Guy's & St Thomas' NHS Foundation Trust	Guy's Hospital	SE1 7EH
50552057	Warrington & Halton Hospitals NHS Trust	Halton Hospital	WA7 2DA
50552078	Imperial College Healthcare NHS Trust	Hammersmith Hospital	W6 8NB
50552197	Royal Brompton & Harefield NHS Trust	Harefield Hospital	UB9 6JH
50552218	Harrogate and District NHS Foundation Trust	Harrogate District Hospital PMU	HG2 7SY
50552131	Harrogate and District NHS Foundation Trust	Harrogate Hospital Decontamination Dept	HG2 7SX
5051722	Heart of England NHS Foundation Trust	Heartlands, Solihull and Good Hope Hospitals	B29 6JD
50552325	West Hertfordshire Hospitals NHS Trust	Hemel Hempstead Hospital	HP2 4AD   
50552345	West Hertfordshire Hospitals NHS Trust	Hemel Hempstead Hospital	HP2 4AD   
50552321	Northumbria Healthcare NHS Foundation Trust	Hexham General Hospital	NE63 9JJ
50552221	Salford Primary Care Trust	Higher Broughton Health Centre	WN6 9EP
50552125	Hinchingbrooke Healthcare NHS Trust	Hinchingbrooke Hospital	PE29 6NT
50552265	Leicestershire County & Rutland Community Health Services (LCRCHS)	Hinckley & Bosworth Community Hospital	LE13 1SJ  
50552264	Leicestershire County & Rutland Community Health Services (LCRCHS)	Hinckley & District Hospital	LE13 1SJ  
50552199	Northern Devon Healthcare NHS Trust	Holsworthy Hospital	EX31 4JB
50552185	Calderdale & Huddersfield NHS Foundation Trust	Huddersfield Royal Infirmary (Asset Mgmt)	HD3 3EA
50552184	Calderdale & Huddersfield NHS Foundation Trust	Huddersfield Royal Infirmary (GLN)	HD3 3EA
50552183	Calderdale & Huddersfield NHS Foundation Trust	Huddersfield Royal Infirmary (Patient ID)	HD3 3EA
5065001598	Calderdale & Huddersfield NHS Foundation Trust	Huddersfield Royal Infirmary (Patient ID)	HD3 3EA
50552156	Calderdale & Huddersfield NHS Foundation Trust	Huddersfield Royal Infirmary Pharmacy Mfr Unit	HD3 3ET
50552316	Hull & East Yorkshire Hospitals NHS Trust	Hull & East Yorkshire Eye Hospital	HU3 2JZ   
50552317	Hull & East Yorkshire Hospitals NHS Trust	Hull & East Yorkshire Women & Children’s Hospital	HU3 2JZ   
50552315	Hull & East Yorkshire Hospitals NHS Trust	Hull Royal Infirmary	HU3 2JZ   
50552200	Northern Devon Healthcare NHS Trust	Ilfracombe Tyrrell Hospital	EX31 4JB
5020850	Ipswich Hospital NHS Trust	Ipswich Hospital	IP4 5PD
50552246	The Ipswich Hospital NHS Trust	Ipswich Hospital HSDU	IP4 5PD 
50552222	Salford Primary Care Trust	Irlam Medical Centre	WN6 9EP
50552157	Maidstone & Tunbridge Wells NHS Trust	Kent & Sussex Hospital	TN4 8AT
50552154	East Kent Hospitals NHS Trust	Kent and Canterbury Hospital	CT1 3NG
50552182	Kettering General Hospital NHS Foundation Trust	Kettering General Hospital NHS Foundation Trust	NN16 8UZ
50552354	Barking, Havering & Redbridge Hospitals NHS Trust	King George Hospital	IG3 8YB
5051298	King's College Hospital NHS Foundation Trust	King's College Hospital	SE5 9RS
506013402	King's College Hospital NHS Foundation Trust	King's College Hospital	SE5 9RS
50552254	King's College Hospital NHS Foundation Trust	King's College Hospital Dental Institute SS Dept.	SE9 5RT
50552145	Sherwood Forest Hospitals NHS Foundation Trust	King's Mill Hospital Pharmacy Department	NG17 4JL
5052992	Sherwood Forest Hospitals NHS Foundation Trust	King's Mill Hospital Sterile Services Dept.	NG17 4JL
50552117	Sherwood Forest Hospitals NHS Foundation Trust	King's Mill Hospital Sterile Services Dept.	NG17 4JL
50552284	Kingston Hospital NHS Trust	Kingston Hospital NHS Trust	KT2 7QB   
50552227	Salford Primary Care Trust	Lance Burn Health Centre	WN6 9EP
50552240	Leeds Teaching Hospitals NHS Trust	Leeds Dental Institute (GLN)	LS1 3EX
50552188	Leeds Teaching Hospitals NHS Trust	Leeds General Infirmary (GLN)	LS1 3EX
50552282	University Hospitals of Leicester NHS Trust	Leicester General Hospital (SSD)	LE5 4PW   
50552283	University Hospitals of Leicester NHS Trust	Leicester Royal Infirmary (SSD)	LE1 5WW   
50552112	Wrightington, Wigan and Leigh NHS Foundation Trust	Leigh Infirmary	BL6 6SB
50552075	Mid Cheshire Hospitals Trust	Leighton Hospital	CW1 4QJ
50552277	United Lincolnshire Hospitals NHS Trust	Lincoln County Hospital (PPID)	LN2 5QY
50552247	United Lincolnshire Hospitals NHS Trust	Lincoln County Hospital SSD	LN2 4QY   
50552215	Lincolnshire Partnership NHS Foundation Trust	Lincolnshire Partnership NHS Foundation Trust	LN4 2HN
50552214	Lincolnshire Primary Care Trust	Lincolnshire Primary Care Trust	LN4 2HN
50552332	NHS Westminster	Lisson Grove Health Centre, Central London Community Healthcare	W1D 3QS
50552151	East And North Hertfordshire NHS Trust	Lister Hospital Pharmacy Dept	SG1 4AB
50552159	East & North Hertfordshire NHS Trust	Lister Hospital Sterile Services Unit	SG1 4AB
50552224	Salford Primary Care Trust	Little Hulton Health Centre	WN6 9EP
50552102	Liverpool Heart and Chest Hospital NHS Foundation Trust	Liverpool Heart and Chest Hospital	L14 3PE
50552342	The Royal Liverpool and Broadgreen University Hospitals NHS Trus	Liverpool University Dental Hospital	L3 5PS
50552108	Liverpool Women's NHS Foundation Trust	Liverpool Women's Hospital	L8 7SS
50552266	Leicestershire County & Rutland Community Health Services (LCRCHS)	Loughborough Hospital	LE13 1SJ  
50552229	Salford Primary Care Trust	Lower Broughton Health Centre	WN6 9EP
50552201	Northern Devon Healthcare NHS Trust	Lynton Resource Centre	EX31 4JB
5051204	East Cheshire NHS Trust	Macclesfield District General Hospital	SK10 3BL
50552213	Maidstone & Tunbridge Wells NHS Trust	Maidstone Hospital	ME16 9QQ
50552267	Leicestershire County & Rutland Community Health Services (LCRCHS)	Market Harborough & District Hospital	LE13 1SJ  
50552288	The Leeds Teaching Hospitals NHS Trust	Medicines Management and Pharmacy Services,The Leeds Teaching Hospitals NHS Trust	LS10 2JQ
50552153	Medway NHS Foundation Trust	Medway Maritime Hospital	ME7 5NY
50552260	Leicestershire County & Rutland Community Health Services (LCRCHS)	Melton Mowbray Hospital	LE13 1SJ  
50552111	Milton Keynes Hospital NHS Foundation Trust	Milton Keynes General Hospital	MK6 5LD
50552190	Doncaster and Bassetlaw Hospitals NHS Foundation Trust	Montagu Hospital	S64 0AZ
5052129	Moorfields Eye Hospital NHS Foundation Trust	Moorfields Eye Hospital Sterile Services	EC1V 2PD
506013268	Moorfields Eye Hospital NHS Foundation Trust	Moorfields Pharmaceuticals	N1 7NH
50552186	The Hillingdon Hospital NHS Trust	Mount Vernon Hospital	HA6 2RN
50552324	National Blood Service Blood & Transplant (NHSBT) Tissue Services	National Blood Service Blood & Transplant (NHSBT) Tissue Services	L24 8RB   
50552069	Royal Wolverhampton Hospitals NHS Trust	New Cross Hospital	WV10 0QP
50552330	Barts Health NHS Trust	Newham University Hospital	IG3 8YB
50552255	Blackburn with Darwen Primary Care Trust	NHS Blackburn with Darwen & East Lancashire NHS	BB1 2EE   
50552259	Great Ormond Street Hospital for Children NHS Trust	NHS UK Newborn Screening Programme Centre	WC1N 3JH  
50552343	Norfolk and Norwich University Hospitals NHS Foundation Trust	Norfolk and Norwich University Hospitals NHS Foundation Trust	NR4 7UY
50552311	North Cumbria University Hospitals NHS Trust	North Cumbria University Hospitals NHS Trust	CA2 7HY   
50552203	Northern Devon Healthcare NHS Trust	North Devon District Hospital	EX31 4JB
50552241	North Devon Healthcare NHS Trust	North Devon District Hospital, CSSD	EX31 4JB  
50552105	North Mersey Health Informatics Service	North Mersey Health Informatics Service	DE24 8SW
50552320	Northumbria Healthcare NHS Foundation Trust	North Tyneside District General Hospital	NE63 9JJ
50552326	Northwest London Hospitals NHS Trust	Northwick Park Hospital Pharmacy Dept.	HA1 3UJ
50552122	North West London Hospitals NHS Trust	Northwick Park Hospital Sterile Services Dept.	HA1 3UJ
50552228	Salford Primary Care Trust	Ordsall Health Centre	WN6 9EP
50552172	Oxford Radcliffe Hospitals NHS Trust	Oxford John Radcliffe Hospital	OX3 9DU
50552306	Papworth Hospital NHS Foundation Trust	Papworth Hospital	CB23 8RE  
50552158	Maidstone & Tunbridge Wells NHS Trust	Pembury Hospital	TN2 4QJ
50552225	Salford Primary Care Trust	Pendlebury Health Centre	WN6 9EP
50552132	Peterborough and Stamford Hospitals NHS Foundation Trust	Peterborough City Hospital	PE3 9GZ
50552298	Peterborough and Stamford Hospitals NHS Foundation Trust	Peterborough City Hospital Pharmacy Dept.	PE3 9GZ
50552232	University Hospital of North Staffs NHS Trust	Pharmacy Directorate UHNS NHS Trust	ST4 6QG
50552236	Colchester Hospital University NHS Foundation Trust	Pharmacy Support Unit, Colchester University Hospital NHS Foundation Trust	CO4 5JL
50552120	United Lincolnshire Hospitals NHS Trust	Pilgrim Hospital SSD	PE21 9QS
50552356	The Mid Yorkshire Hospitals NHS Trust 	Pinderfields Hospital	WF1 4DG
5000489	Pharmacy Manufacturing Unit	Portsmouth Hospitals NHS Trust PMU	PO6 1LT
5032383	Lancashire Teaching Hopsitals NHS Foundation Trust	Preston Pharmaceuticals	PR2 9HT
50552250	Nottingham University Hospitals NHS Trust	QMC Campus, Trust Sterile Services Department	NG7 2UH   
5051449	University Hospital Birmingham NHS Foundation Trust	Queen Elizabeth and Selly Oak Hospitals	B29 6JD
50552177	East Kent Hospitals NHS Trust	Queen Elizabeth The Queen Mother Hospital	CT9 4AN
50552139	Burton Hospitals NHS FoundationTrust	Queen's Hospital (Burton-on-Trent)	DE13 0RB
50552234	Barking Havering Redbridge Uni Hospitals NHS Trust	Queen's Hospital Pharmacy Manufacturing Dept.	RM7 0AG
50552138	Nottingham University Hospitals NHS Trust	Queen's Medical Centre University Hospital Pharmacy Production Unit	NG7 2UH
50552149	Nottingham University Hospitals NHS Trust	Queen's Medical Centre University Hospital Pharmacy Production Unit	NG7 2UH
5053291	Shrewsbury & Telford Hospitals NHS Trust	Queensway Sterile Services, Shrewsbury & Telford Hospitals NHS Trust	TF1 7UL
50552083	Blackpool, Fylde and Wyre Hospitals NHS Trust	Rossall PFI	FY7 8JH
50552113	The Rotherham NHS Foundation Trust	Rotherham General Hospital	S60 2UD
50552116	Wrightington, Wigan and Leigh NHS Foundation Trust	Royal Albert Edward Infirmary	BL6 6SB
50552341	Royal Berkshire NHS Foundation Trust	Royal Berkshire NHS Foundation Trust	RG1 5AN
50552271	East Lancashire Hospitals NHS Trust	Royal Blackburn Hospital	BB2 3HH   
50552278	Bolton NHS Foundation Trust	Royal Bolton Hospital 	BL4 0JR   
50552302	The Royal Bournemouth and Christchurch Hospitals NHS Foundation 	Royal Bournemouth Hospital	BH7 7DW   
50552196	Royal Brompton & Harefield NHS Trust	Royal Brompton Hospital	SW3 6NP
50552285	Royal Cornwall Hospitals NHS Trust	Royal Cornwall Hospital	TR1 3LJ
50552289	Royal Cornwall Hospitals NHS Trust	Royal Cornwall Hospital	TR1 3LJ
50552336	Royal Cornwall Hospitals NHS Trust	Royal Cornwall Hospital	TR1 3LJ
506014203	Royal Cornwall Hospitals NHS Trust	Royal Cornwall Hospital	TR1 3LJ
50552334	Royal Cornwall Hospitals NHS Trust	Royal Cornwall Hospital Sterile Services Department	TR1 3LJ
50552056	Derby Hospitals NHS Foundation Trust	Royal Derby Hospital	DE22 3NE
50552072	Royal Devon & Exeter NHS Foundation Trust	Royal Devon and Exeter Hospital	EX2 5DW
50552140	Royal Free Hampstead NHS Trust	Royal Free Hospital	NW3 2QG
50552307	Hampshire Hospitals NHS Foundation Trust	Royal Hampshire County Hospital	SO22 5DG  
50552252	University Hospitals of Morecambe Bay NHS Trust	Royal Lancaster Infirmary Sterile Services Dept.	LA1 4RP
50552273	Royal Liverpool and Broadgreen University Hospitals NHS Trust	Royal Liverpool & Broadgreen University Hospitals NHS Trust PMU	L7 8XP 
50552110	Royal Liverpool and Broadgreen University Hospitals NHS Trust	Royal Liverpool University Hospital	L7 8XP
50552180	Royal National Orthopaedic Hospital NHS Trust Stanmore	Royal National Orthopaedic Hospital NHS Trust Stanmore	HA7 4LP   
50552064	Lancashire Teaching Hospitals NHS Foundation Trust	Royal Preston Hospital	PR2 9HT
50552179	Lancashire Teaching Hospitals NHS Foundation Trust	Royal Preston Hospital Medical Engineering Dept.	PR2 9HT
50552074	Royal United Hospital Bath NHS Trust	Royal United Hospital Bath NHS Trust	BA1 3NG
50552087	Newcastle upon Tyne Hospitals NHS Foundation Trust	Royal Victoria Infirmary Pharmacy Prod. Unit	NE1 4LP
50552355	The Newcastle Hospitals NHS Foundation Trust	Royal Victoria Infirmary Sterile Services Dept.	NE1 4LP
50552245	The Dudley Group of Hospitals NHS Trust	Russells Hall Hospital	DY1 2HQ   
50552268	Leicestershire County & Rutland Community Health Services (LCRCHS)	Rutland Memorial Hospital	LE13 1SJ  
50552104	Salford Royal NHS Foundation Trust	Salford Royal Hospital	M6 8HD
50552338	Salford Royal NHS Foundation Trust	Salford Royal NHS Foundation Trust	M6 8HD
50552328	Salisbury NHS Foundation Trust	Salisbury District Hospital 	SP2 8BJ
50552318	Scarborough and North East Yorkshire Healthcare NHS Trust 	Scarborough Hospital	YO12 6QL  
50552292	Northern Lincolnshire & Goole Hospitals NHS Foundation Trust	Scunthorpe General Hospital	DN33 2BA
50552239	Leeds Teaching Hospitals NHS Trust	Seacroft Hospital (GLN)	LS1 3EX
5052972	Sheffield Children's Hospital NHS Foundation Trust	Sheffield Children's Hospital NHS Foundation Trust	S10 2TH
50552554	Sheffield Children's Hospital NHS Foundation Trust	Sheffield Children's Hospital NHS Foundation Trust	S10 2TH
50552088	Sheffield Teaching Hospitals NHS Foundation Trust	Sheffield Teaching Hospitals	S10 2TA
50552329	Sherwood Forest Hospitals NHS Foundation Trust	Sherwood Forest Hospitals NHS Foundation Trust	NG17 4JL
50552333	NHS Westminster	Soho Centre for Health & Care, Central London Community Healthcare	W1D 3QS
50552129	South Devon Healthcare NHS Foundation Trust	South Devon Healthcare NHS Foundation Trust	TQ2 7AA
50552202	Northern Devon Healthcare NHS Trust	South Molton Hospital	EX31 4JB
50552067	South Tyneside NHS Foundation Trust	South Tyneside District Hospital	NE34 0PL
50552137	University Hospital Southampton NHS Foundation Trust	Southampton General Hospital	SO16 6YD
50552219	Southend University Hospital NHS Foundation Trust	Southend University Hospital	SS0 0RY
50552142	Southend University Hospital NHS Foundation Trust	Southend University Hospital Pharmacy Dept.	SS0 0RY
50552279	Southend University Hospital NHS Foundation Trust	Southend University Hospital SSD	SS0 0RY   
506012965	Western Sussex Hospitals NHS Trust	Southlands Hospital Pharmacy Production Unit	BN43 6TQ
506022649	Western Sussex Hospitals NHS Trust	Southlands Hospital Pharmacy Production Unit	BN43 6TQ
50552065	North Bristol NHS Trust	Southmead Hospital	BS10 5NB
50552191	Southport and Ormskirk NHS Trust	Southport and Formby District General	PR8 6PN
50552194	Southport and Ormskirk NHS Trust	Southport and Formby District General	PR8 6PN
50552300	West Hertfordshire Hospitals NHS Trust	St Albans City Hospital	WD18 0HB  
50552327	Kensington & Chelsea NHS PCT	St Charles Hospital, Central London Community Healthcare	W10 6DZ   
50552085	United Lincolnshire Hospitals NHS Trust	St George's Hospital, Lincoln	PE21 9QS
506029782	United Lincolnshire Hospitals NHS Trust	St George's Hospital, Lincoln	PE21 9QS
5053234	St George's Healthcare NHS Trust	St George's Hospital, London	SW17 0QT
50552098	St George's Healthcare NHS Trust	St George's Hospital, London	SW17 0QT
50552090	St Helens and Knowsley Teaching Hospitals NHS Hospitals Trust	St Helens Hospital	WA10 3TP
50552187	Leeds Teaching Hospitals NHS Trust	St James's University Hospital (GLN)	LS1 3EX
50552269	Leicestershire County & Rutland Community Health Services (LCRCHS)	St Lukes Hospital	LE13 1SJ  
50552123	North West London Hospitals NHS Trust	St Mark's Hospital	HA1 3UJ
5051414	Imperial College Healthcare NHS Trust	St Mary's Hospital	W2 1NY
506014444	Imperial College Healthcare NHS Trust	St Mary's Hospital	W2 1NY
50552170	Ashford & St Peters NHS Trust	St Peters Hospital	KT16 0PZ
50552287	West Sussex Hospitals NHS Trust	St Richard's Hospital CSSD	PO19 6SE  
50552242	Mid Staffordshire NHS Foundation Trust	Stafford Hospital	ST16 3SA
50552077	Stepping Hill Hospital	Stockport Pharmaceuticals	SK2 5JE
50552358	City Hospitals Sunderland NHS Foundation Trust	Sunderland Royal Hospital	SR4 7TP
50552339	Surrey & Sussex Healthcare NHS Trust	Surrey & Sussex NHS Trust Sterile Services Dept	RH1 5RH
50552226	Salford Primary Care Trust	Swinton Clinic	WN6 9EP
50552258	Tameside Hospital NHS Foundation Trust	Tameside General Hospital	OL6 9RW   
50552055	The Christie	The Christie NHS Foundation Trust	M20 4BX
50552127	The Hillingdon Hospital NHS Trust	The Hillingdon Hospital SSD	UB8 3NN
50552233	The Hillingdon Hospital NHS Trust	The Hillingdon Hospital with Mount Vernon	UB8 3NN
50552174	Oxford Radcliffe Hospitals NHS Trust	The Horton Hospital Sterile Services Dept	OX16 9AL
50552274	South Tees Hospitals NHS Foundation Trust	The James Cook University Hospital	TS4 3BW
5032628	The Leeds Teaching Hospitals NHS Trust	The Leeds Teaching Hospitals Sterile Services	LS1 9LF
5051364	The Leeds Teaching Hospitals NHS Trust	The Leeds Teaching Hospitals Sterile Services	LS1 9LF
50552294	The Lewisham Hospital NHS Trust	The Lewisham Hospital NHS Trust	SE13 6LH  
50552206	Barts Health NHS Trust	The London Hospital	E1 8PR
50552340	NHS Westminster	The Medical Centre, Central London Community Healthcare	W1D 3QS
50552295	The Pennine Acute Hospitals NHS Trust	The Pennine Acute Hospitals NHS Trust Sterile Services Department	OL1 2JH   
50552301	The Pennine Acute Hospitals NHS Trust	The Pennine Acute Hospitals NHS Trust Sterile Services Department	OL1 2JH   
5051900	The Princess Alexandra Hospital NHS Trust	The Princess Alexandra Hospital NHS Trust	CM20 1QX
50552155	The Princess Alexandra Hospital NHS Trust	The Princess Alexandra Hospital NHS Trust	CM20 1QX
5051827	The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust	The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust	PE30 4ET
50552235	The Royal Marsden NHS Foundation Trust	The Royal Marsden Hospital (London)	SW3 6JJ
50552089	The Royal Marsden NHS Foundation Trust	The Royal Marsden Hospital (Surrey)	SM2 5PT
5051725	Royal Orthopaedic Hospital NHS Foundation Trust	The Royal Orthopaedic Hospital Birmingham	B31 2AP
50552099	Royal Orthopaedic Hospital NHS Foundation Trust	The Royal Orthopaedic Hospital Birmingham	B31 2AP
50552103	The Walton Centre NHS Foundation Trust	The Walton Neurological Centre	DE24 8SW
50552126	The Whittington Hospital NHS Trust	The Whittington Hospital NHS Trust	N19 5NF
50552223	Salford Primary Care Trust	The Willows	WN6 9EP
5052152	South Devon Healthcare NHS Foundation Trust	Torbay Hospital Sterile Services Dept.	TQ2 7AA
50552192	South Devon Healthcare NHS Foundation Trust	Torbay Hospital Sterile Services Dept.	TQ2 7AA
506013126	South Devon Healthcare NHS Foundation Trust	Torbay Pharmacy Manufacturing Unit	TQ4 7TW
50552204	Northern Devon Healthcare NHS Trust	Torrington Hospital	EX31 4JB
50552058	Trafford Healthcare NHS Trust	Trafford General Hospital	 M41 5SL
50552095	University College London Hospitals NHS Trust	University College London Hospital	NW1 2BU
50552351	University College London Hospitals NHS Trust	University College London Hospital 	WC1E 6DB
5052709	University College London Hospitals NHS Trust	University College London Hospitals	NW1 2BU
50552337	University College London Hospitals NHS Trust	University College London Hospitals	NW1 2BU
50552147	Aintree University Hospitals NHS Trust	University Hospital Aintree (UHA)	DE24 8SW
50552220	University Hospital Bristol NHS Foundation Trust	University Hospital Bristol NHS Foundation Trust	BS1 3NU
50552097	The Lewisham Hospital NHS Trust	University Hospital Lewisham Pharmacy Department	SE13 6LH
50552275	North Tees & Hartlepool NHS Foundation Trust	University Hospital of Hartlepool	TS24 9AH
50552063	UHNS NHS Trust	University Hospital of North Staffs	ST4 7LN
50552217	UHNS NHS Trust	University Hospital of North Staffs City General	ST4 6QG
50552276	North Tees & Hartlepool NHS Foundation Trust	University Hospital of North Tees	TS19 8PE
5053418	University Hospitals Coventry and Warwickshire NHS Trust 	University Hospitals Coventry and Warwickshire NHS Trust 	CV2 2DX   
